"Index ","Pathogen Name ","Disease",Export%20to%20XML
"110","Human cytomegalovirus","undefined","http://www.violinet.org/violinml/show_xml.php?c_pathogen_id=231"
"111","Human Immunodeficiency Virus","Acquired Immunodeficiency Syndrome (AIDS)","http://www.violinet.org/violinml/show_xml.php?c_pathogen_id=26"
"112","Human metapneumovirus","Respiratory tract infection","http://www.violinet.org/violinml/show_xml.php?c_pathogen_id=210"
"113","Human Papillomavirus","HPV infection","http://www.violinet.org/violinml/show_xml.php?c_pathogen_id=54"
"114","Human Respiratory Syncytial Virus","Respiratory tract disease","http://www.violinet.org/violinml/show_xml.php?c_pathogen_id=212"
"115","Infectious Bronchitis Virus (IBV)","Infectious Bronchitis","http://www.violinet.org/violinml/show_xml.php?c_pathogen_id=145"
"116","Infectious Bursal Disease Virus (IBDV)","Infectious Bursal Disease","http://www.violinet.org/violinml/show_xml.php?c_pathogen_id=146"
"117","Infectious Hematopoietic Necrosis Virus","Infectious hematopoietic necrosis","http://www.violinet.org/violinml/show_xml.php?c_pathogen_id=75"
"118","infectious laryngotracheitis virus","undefined","http://www.violinet.org/violinml/show_xml.php?c_pathogen_id=268"
"119","Infectious pancreatic necrosis virus","undefined","http://www.violinet.org/violinml/show_xml.php?c_pathogen_id=245"
"120","Infectious salmon anemia virus","Infectious Salmon Anemia","http://www.violinet.org/violinml/show_xml.php?c_pathogen_id=162"
"121","Influenza virus","Influenza (flu)","http://www.violinet.org/violinml/show_xml.php?c_pathogen_id=50"
"122","Japanese encephalitis virus","Japanese encephalitis","http://www.violinet.org/violinml/show_xml.php?c_pathogen_id=51"
"123","Lassa Fever Virus","Lassa fever","http://www.violinet.org/violinml/show_xml.php?c_pathogen_id=17"
"124","Lawsonia intracellularis","Lawsonia intracellularis infection","http://www.violinet.org/violinml/show_xml.php?c_pathogen_id=76"
"125","Leishmania amazonensis","Leishmaniasis","http://www.violinet.org/violinml/show_xml.php?c_pathogen_id=117"
"126","Leishmania donovani","Visceral leishmaniasis","http://www.violinet.org/violinml/show_xml.php?c_pathogen_id=97"
"127","Leishmania infantum","Infantile visceral leishmaniasis","http://www.violinet.org/violinml/show_xml.php?c_pathogen_id=116"
"128","Leishmania major","Cutaneous leishmaniasis","http://www.violinet.org/violinml/show_xml.php?c_pathogen_id=115"
"129"," spp.","Leptospirosis","http://www.violinet.org/violinml/show_xml.php?c_pathogen_id=195"
"130","Listeria monocytogenes","Listeriosis","http://www.violinet.org/violinml/show_xml.php?c_pathogen_id=136"
"131","Lymphocytic choriomeningitis virus","Lymphocytic choriomeningitis","http://www.violinet.org/violinml/show_xml.php?c_pathogen_id=226"
"132","Mannheimia haemolytica","Bovine Respiratory Disease","http://www.violinet.org/violinml/show_xml.php?c_pathogen_id=180"
"133","Marburg Virus","Hemorrhagic fever","http://www.violinet.org/violinml/show_xml.php?c_pathogen_id=28"
"134","Marek's disease virus","Marek's disease","http://www.violinet.org/violinml/show_xml.php?c_pathogen_id=69"
"135","Measles virus","Measles","http://www.violinet.org/violinml/show_xml.php?c_pathogen_id=52"
"136","MERS-CoV","Middle East Respiratory Syndrome (MERS)","http://www.violinet.org/violinml/show_xml.php?c_pathogen_id=319"
"137","Mink enteritis virus","Mink Enteritis","http://www.violinet.org/violinml/show_xml.php?c_pathogen_id=159"
"138","Mumps virus","Mumps","http://www.violinet.org/violinml/show_xml.php?c_pathogen_id=53"
"139","Murine Cytomegalovirus","undefined","http://www.violinet.org/violinml/show_xml.php?c_pathogen_id=227"
"140","Murine leukemia virus","undefined","http://www.violinet.org/violinml/show_xml.php?c_pathogen_id=228"
"141","Mycobacterium avium","undefined","http://www.violinet.org/violinml/show_xml.php?c_pathogen_id=119"
"142","Mycobacterium bovis","Tuberculosis","http://www.violinet.org/violinml/show_xml.php?c_pathogen_id=290"
"143"," marinum","undefined","http://www.violinet.org/violinml/show_xml.php?c_pathogen_id=246"
"144","Mycobacterium tuberculosis","Tuberculosis","http://www.violinet.org/violinml/show_xml.php?c_pathogen_id=29"
"145","Mycoplasma gallisepticum","Chronic respiratory disease","http://www.violinet.org/violinml/show_xml.php?c_pathogen_id=84"
"146"," hyopneumoniae","Porcine Enzootic Pneumonia","http://www.violinet.org/violinml/show_xml.php?c_pathogen_id=200"
"147","Mycoplasma synoviae","Respiratory tract disease and synovitis","http://www.violinet.org/violinml/show_xml.php?c_pathogen_id=83"
"148","Neisseria meningitidis","Meningitis","http://www.violinet.org/violinml/show_xml.php?c_pathogen_id=46"
"149","Neospora caninum","Neosporosis","http://www.violinet.org/violinml/show_xml.php?c_pathogen_id=93"
"150","Newcastle disease virus","Newcastle disease","http://www.violinet.org/violinml/show_xml.php?c_pathogen_id=70"
"151","Nipah virus","Nipah virus disease","http://www.violinet.org/violinml/show_xml.php?c_pathogen_id=127"
"152","Orf Virus","Orf disease, Sore mouth (Ovine Ecthyma)","http://www.violinet.org/violinml/show_xml.php?c_pathogen_id=160"
"153","Parainfluenza virus","undefined","http://www.violinet.org/violinml/show_xml.php?c_pathogen_id=229"
"154","Pasteurella multocida","Pasteurellosis, fowl cholera","http://www.violinet.org/violinml/show_xml.php?c_pathogen_id=161"
"155","Pigeonpox virus","Pigeon Pox","http://www.violinet.org/violinml/show_xml.php?c_pathogen_id=182"
"156","Piscirickettsia salmonis","Salmon Rickettsial Disease, Piscirickettsiosis","http://www.violinet.org/violinml/show_xml.php?c_pathogen_id=147"
"157"," spp.","Malaria","http://www.violinet.org/violinml/show_xml.php?c_pathogen_id=30"
"158","Poliovirus","Polio","http://www.violinet.org/violinml/show_xml.php?c_pathogen_id=55"
"159","Porcine circovirus 2","Postweaning multisystemic wasting syndrome","http://www.violinet.org/violinml/show_xml.php?c_pathogen_id=64"
"160","Porcine parvovirus","SMEDI, reproductive failure","http://www.violinet.org/violinml/show_xml.php?c_pathogen_id=199"
"161","Porcine respiratory and reproductive syndrome virus","Porcine Reproductive and Respiratory Syndrome (PRRS), Blue-Ear Pig Disease","http://www.violinet.org/violinml/show_xml.php?c_pathogen_id=183"
"162","Porcine rotavirus","Diarrhea","http://www.violinet.org/violinml/show_xml.php?c_pathogen_id=184"
"163","Porphyromonas gulae","Canine periodontitis","http://www.violinet.org/violinml/show_xml.php?c_pathogen_id=77"
"164","Pseudomonas aeruginosa","Pseudomonas aeruginosa infection","http://www.violinet.org/violinml/show_xml.php?c_pathogen_id=137"
"165","Pseudorabies virus","Aujeszky's disease","http://www.violinet.org/violinml/show_xml.php?c_pathogen_id=65"
"166","Psittacid herpesvirus 1","Pacheco's Parrot Disease","http://www.violinet.org/violinml/show_xml.php?c_pathogen_id=181"
"167","Rabbit hemorrhagic disease virus","Rabbit hemorrhagic disease","http://www.violinet.org/violinml/show_xml.php?c_pathogen_id=257"
"168","Rabies virus","Rabies","http://www.violinet.org/violinml/show_xml.php?c_pathogen_id=56"
"169","Reticuloendotheliosis Virus","Tumors, wasting syndrome","http://www.violinet.org/violinml/show_xml.php?c_pathogen_id=258"
"170","Ricin toxin of ","Ricin poisoning","http://www.violinet.org/violinml/show_xml.php?c_pathogen_id=124"
"171","Rickettsia rickettsii","undefined","http://www.violinet.org/violinml/show_xml.php?c_pathogen_id=302"
"172"," spp","Spotted Fever, Typhus","http://www.violinet.org/violinml/show_xml.php?c_pathogen_id=108"
"173","Riemerella anatipestifer","New duck disease, Infectious serositis, Pasteurella anatipestifer infection","http://www.violinet.org/violinml/show_xml.php?c_pathogen_id=185"
