recId,taxon_id,common_name,scientific_name
55,9685,Cat,Felis%20catus
55,7995,Catfishes,Siluriformes
55,9913,Cattle,Bos%20taurus
55,9031,Chicken,Gallus%20gallus
55,9598,Chimpanzee,Pan%20troglodytes
55,10150,chinchillas,Chinchillidae
55,9067,Copper%20Pheasant,Syrmaticus%20soemmerringii
55,9860,Deer,Cervus%20elaphus
55,10042,Deer%20mouse,Peromyscus%20maniculatus
55,9615,Dog,Canis%20familiaris
55,8835,Ducks,Anas
55,9669,Ferret,Mustela%20putorius%20furo
55,117565,Fish,Hyperotreti
55,10045,Gerbil,Gerbillina
55,9925,Goat,Capra%20hircus
55,9612,Gray%20wolf,Canis%20lupus
55,10141,Guinea%20pig,Cavia%20porcellus
55,10036,Hamster,Mesocricetus%20auratus
55,9796,Horse,Equus%20caballus
55,9606,Human,Homo%20sapiens
55,9541,Macaque,Macaca%20fascicularis
55,10047,Mongolian%20Gerbil,Meriones%20unguiculatus
55,9479,Monkey,Platyrrhini
55,10090,Mouse,Mus%20musculus
55,,None,None
55,9224,Parrot,Psittacidae
55,9823,Pig,Sus%20scrofa
55,9986,Rabbit,Oryctolagus%20cuniculus
55,8022,Rainbow%20trout,Oncorhynchus%20mykiss
55,10114,Rat,Rattus
55,56781,Raven,Corvus%20corax
55,9768,sei%20whale,Balaenoptera%20borealis
55,9940,Sheep,Ovis%20aries
55,37591,Squirrel,Spermophilus%20richardsonii
55,9393,Tree%20shrew,Tupaiidae
55,504568,Trouts%2C%20salmons%20%26%20chars,Salmoninae
55,9103,Turkey,Meleagris%20gallopavo
55,79684,Vole,Microtus%20ochrogaster
55,391902,Water%20buffalo,Bubalus%20bubalis
25,9556,Baboon,Papio%20cynocephalus
25,447135,Bank%20vole,Clethrionomys%20glareolus
25,9643,Bear,Ursus%20americanus
25,175121,Birds,Passeroidea
25,8032,Brown%20Trout,Salmo%20trutta
25,9901,Buffalo,Bison%20bison
25,9625,Carnivores,Vulpes
25,9685,Cat,Felis%20catus
25,7995,Catfishes,Siluriformes
25,9913,Cattle,Bos%20taurus
25,9031,Chicken,Gallus%20gallus
25,9598,Chimpanzee,Pan%20troglodytes
25,10150,chinchillas,Chinchillidae
25,9067,Copper%20Pheasant,Syrmaticus%20soemmerringii
25,9860,Deer,Cervus%20elaphus
25,10042,Deer%20mouse,Peromyscus%20maniculatus
25,9615,Dog,Canis%20familiaris
25,8835,Ducks,Anas
25,9669,Ferret,Mustela%20putorius%20furo
25,117565,Fish,Hyperotreti
25,10045,Gerbil,Gerbillina
25,9925,Goat,Capra%20hircus
25,9612,Gray%20wolf,Canis%20lupus
25,10141,Guinea%20pig,Cavia%20porcellus
25,10036,Hamster,Mesocricetus%20auratus
25,9796,Horse,Equus%20caballus
25,9606,Human,Homo%20sapiens
25,9541,Macaque,Macaca%20fascicularis
25,10047,Mongolian%20Gerbil,Meriones%20unguiculatus
25,9479,Monkey,Platyrrhini
25,10090,Mouse,Mus%20musculus
25,,None,None
25,9224,Parrot,Psittacidae
25,9823,Pig,Sus%20scrofa
25,9986,Rabbit,Oryctolagus%20cuniculus
25,8022,Rainbow%20trout,Oncorhynchus%20mykiss
25,10114,Rat,Rattus
25,56781,Raven,Corvus%20corax
25,9768,sei%20whale,Balaenoptera%20borealis
25,9940,Sheep,Ovis%20aries
25,37591,Squirrel,Spermophilus%20richardsonii
25,9393,Tree%20shrew,Tupaiidae
25,504568,Trouts%2C%20salmons%20%26%20chars,Salmoninae
25,9103,Turkey,Meleagris%20gallopavo
25,79684,Vole,Microtus%20ochrogaster
25,391902,Water%20buffalo,Bubalus%20bubalis
1,9556,Baboon,Papio%20cynocephalus
1,447135,Bank%20vole,Clethrionomys%20glareolus
1,9643,Bear,Ursus%20americanus
1,175121,Birds,Passeroidea
1,8032,Brown%20Trout,Salmo%20trutta
1,9901,Buffalo,Bison%20bison
1,9625,Carnivores,Vulpes
1,9685,Cat,Felis%20catus
1,7995,Catfishes,Siluriformes
1,9913,Cattle,Bos%20taurus
1,9031,Chicken,Gallus%20gallus
1,9598,Chimpanzee,Pan%20troglodytes
1,10150,chinchillas,Chinchillidae
1,9067,Copper%20Pheasant,Syrmaticus%20soemmerringii
1,9860,Deer,Cervus%20elaphus
1,10042,Deer%20mouse,Peromyscus%20maniculatus
1,9615,Dog,Canis%20familiaris
1,8835,Ducks,Anas
1,9669,Ferret,Mustela%20putorius%20furo
1,117565,Fish,Hyperotreti
1,10045,Gerbil,Gerbillina
1,9925,Goat,Capra%20hircus
1,9612,Gray%20wolf,Canis%20lupus
1,10141,Guinea%20pig,Cavia%20porcellus
1,10036,Hamster,Mesocricetus%20auratus
1,9796,Horse,Equus%20caballus
1,9606,Human,Homo%20sapiens
1,9541,Macaque,Macaca%20fascicularis
1,10047,Mongolian%20Gerbil,Meriones%20unguiculatus
1,9479,Monkey,Platyrrhini
1,10090,Mouse,Mus%20musculus
1,,None,None
1,9224,Parrot,Psittacidae
1,9823,Pig,Sus%20scrofa
1,9986,Rabbit,Oryctolagus%20cuniculus
1,8022,Rainbow%20trout,Oncorhynchus%20mykiss
1,10114,Rat,Rattus
1,56781,Raven,Corvus%20corax
1,9768,sei%20whale,Balaenoptera%20borealis
1,9940,Sheep,Ovis%20aries
1,37591,Squirrel,Spermophilus%20richardsonii
1,9393,Tree%20shrew,Tupaiidae
1,504568,Trouts%2C%20salmons%20%26%20chars,Salmoninae
1,9103,Turkey,Meleagris%20gallopavo
1,79684,Vole,Microtus%20ochrogaster
1,391902,Water%20buffalo,Bubalus%20bubalis
40,9556,Baboon,Papio%20cynocephalus
40,447135,Bank%20vole,Clethrionomys%20glareolus
40,9643,Bear,Ursus%20americanus
40,175121,Birds,Passeroidea
40,8032,Brown%20Trout,Salmo%20trutta
40,9901,Buffalo,Bison%20bison
40,9625,Carnivores,Vulpes
40,9685,Cat,Felis%20catus
40,7995,Catfishes,Siluriformes
40,9913,Cattle,Bos%20taurus
40,9031,Chicken,Gallus%20gallus
40,9598,Chimpanzee,Pan%20troglodytes
40,10150,chinchillas,Chinchillidae
40,9067,Copper%20Pheasant,Syrmaticus%20soemmerringii
40,9860,Deer,Cervus%20elaphus
40,10042,Deer%20mouse,Peromyscus%20maniculatus
40,9615,Dog,Canis%20familiaris
40,8835,Ducks,Anas
40,9669,Ferret,Mustela%20putorius%20furo
40,117565,Fish,Hyperotreti
40,10045,Gerbil,Gerbillina
40,9925,Goat,Capra%20hircus
40,9612,Gray%20wolf,Canis%20lupus
40,10141,Guinea%20pig,Cavia%20porcellus
40,10036,Hamster,Mesocricetus%20auratus
40,9796,Horse,Equus%20caballus
40,9606,Human,Homo%20sapiens
40,9541,Macaque,Macaca%20fascicularis
40,10047,Mongolian%20Gerbil,Meriones%20unguiculatus
40,9479,Monkey,Platyrrhini
40,10090,Mouse,Mus%20musculus
40,,None,None
40,9224,Parrot,Psittacidae
40,9823,Pig,Sus%20scrofa
40,9986,Rabbit,Oryctolagus%20cuniculus
40,8022,Rainbow%20trout,Oncorhynchus%20mykiss
40,10114,Rat,Rattus
40,56781,Raven,Corvus%20corax
40,9768,sei%20whale,Balaenoptera%20borealis
40,9940,Sheep,Ovis%20aries
40,37591,Squirrel,Spermophilus%20richardsonii
40,9393,Tree%20shrew,Tupaiidae
40,504568,Trouts%2C%20salmons%20%26%20chars,Salmoninae
40,9103,Turkey,Meleagris%20gallopavo
40,79684,Vole,Microtus%20ochrogaster
40,391902,Water%20buffalo,Bubalus%20bubalis
24,9556,Baboon,Papio%20cynocephalus
24,447135,Bank%20vole,Clethrionomys%20glareolus
24,9643,Bear,Ursus%20americanus
24,175121,Birds,Passeroidea
24,8032,Brown%20Trout,Salmo%20trutta
24,9901,Buffalo,Bison%20bison
24,9625,Carnivores,Vulpes
24,9685,Cat,Felis%20catus
24,7995,Catfishes,Siluriformes
24,9913,Cattle,Bos%20taurus
24,9031,Chicken,Gallus%20gallus
24,9598,Chimpanzee,Pan%20troglodytes
24,10150,chinchillas,Chinchillidae
24,9067,Copper%20Pheasant,Syrmaticus%20soemmerringii
24,9860,Deer,Cervus%20elaphus
24,10042,Deer%20mouse,Peromyscus%20maniculatus
24,9615,Dog,Canis%20familiaris
24,8835,Ducks,Anas
24,9669,Ferret,Mustela%20putorius%20furo
24,117565,Fish,Hyperotreti
24,10045,Gerbil,Gerbillina
24,9925,Goat,Capra%20hircus
24,9612,Gray%20wolf,Canis%20lupus
24,10141,Guinea%20pig,Cavia%20porcellus
24,10036,Hamster,Mesocricetus%20auratus
24,9796,Horse,Equus%20caballus
24,9606,Human,Homo%20sapiens
24,9541,Macaque,Macaca%20fascicularis
24,10047,Mongolian%20Gerbil,Meriones%20unguiculatus
24,9479,Monkey,Platyrrhini
24,10090,Mouse,Mus%20musculus
24,,None,None
24,9224,Parrot,Psittacidae
24,9823,Pig,Sus%20scrofa
24,9986,Rabbit,Oryctolagus%20cuniculus
24,8022,Rainbow%20trout,Oncorhynchus%20mykiss
24,10114,Rat,Rattus
24,56781,Raven,Corvus%20corax
24,9768,sei%20whale,Balaenoptera%20borealis
24,9940,Sheep,Ovis%20aries
24,37591,Squirrel,Spermophilus%20richardsonii
24,9393,Tree%20shrew,Tupaiidae
24,504568,Trouts%2C%20salmons%20%26%20chars,Salmoninae
24,9103,Turkey,Meleagris%20gallopavo
24,79684,Vole,Microtus%20ochrogaster
24,391902,Water%20buffalo,Bubalus%20bubalis
51,9556,Baboon,Papio%20cynocephalus
51,447135,Bank%20vole,Clethrionomys%20glareolus
51,9643,Bear,Ursus%20americanus
51,175121,Birds,Passeroidea
51,8032,Brown%20Trout,Salmo%20trutta
51,9901,Buffalo,Bison%20bison
51,9625,Carnivores,Vulpes
51,9685,Cat,Felis%20catus
51,7995,Catfishes,Siluriformes
51,9913,Cattle,Bos%20taurus
51,9031,Chicken,Gallus%20gallus
51,9598,Chimpanzee,Pan%20troglodytes
51,10150,chinchillas,Chinchillidae
51,9067,Copper%20Pheasant,Syrmaticus%20soemmerringii
51,9860,Deer,Cervus%20elaphus
51,10042,Deer%20mouse,Peromyscus%20maniculatus
51,9615,Dog,Canis%20familiaris
51,8835,Ducks,Anas
51,9669,Ferret,Mustela%20putorius%20furo
51,117565,Fish,Hyperotreti
51,10045,Gerbil,Gerbillina
51,9925,Goat,Capra%20hircus
51,9612,Gray%20wolf,Canis%20lupus
51,10141,Guinea%20pig,Cavia%20porcellus
51,10036,Hamster,Mesocricetus%20auratus
51,9796,Horse,Equus%20caballus
51,9606,Human,Homo%20sapiens
51,9541,Macaque,Macaca%20fascicularis
51,10047,Mongolian%20Gerbil,Meriones%20unguiculatus
51,9479,Monkey,Platyrrhini
51,10090,Mouse,Mus%20musculus
51,,None,None
51,9224,Parrot,Psittacidae
51,9823,Pig,Sus%20scrofa
51,9986,Rabbit,Oryctolagus%20cuniculus
51,8022,Rainbow%20trout,Oncorhynchus%20mykiss
51,10114,Rat,Rattus
51,56781,Raven,Corvus%20corax
51,9768,sei%20whale,Balaenoptera%20borealis
51,9940,Sheep,Ovis%20aries
51,37591,Squirrel,Spermophilus%20richardsonii
51,9393,Tree%20shrew,Tupaiidae
51,504568,Trouts%2C%20salmons%20%26%20chars,Salmoninae
