recId,pathogen_id,pathogen_name
183,pathogen225,Schistosoma%20mansoni
139,pathogen227,Murine%20Cytomegalovirus
113,pathogen54,Human%20Papillomavirus
127,pathogen116,Leishmania%20infantum
205,pathogen60,Varicella-zoster%20virus
99,pathogen27,Hantavirus
177,pathogen58,Rubella%20virus
189,pathogen81,Streptococcus%20equi
162,pathogen184,Porcine%20rotavirus
188,pathogen139,Streptococcus%20agalactiae
142,pathogen290,Mycobacterium%20bovis
26,pathogen67,Bovine%20herpesvirus%201
103,pathogen49,Hepatitis%20B%20virus
151,pathogen127,Nipah%20virus
159,pathogen64,Porcine%20circovirus%202
193,pathogen90,Theileria%20annulata
149,pathogen93,Neospora%20caninum
146,pathogen200,Mycoplasma%20hyopneumoniae
217,pathogen111,Yersinia%20pseudotuberculosis
185,pathogen213,Simian%20Immunodeficiency%20Virus
115,pathogen145,Infectious%20Bronchitis%20Virus%20%28IBV%29
213,pathogen122,Western%20equine%20encephalomyelitis%20virus
123,pathogen17,Lassa%20Fever%20Virus
128,pathogen115,Leishmania%20major
122,pathogen51,Japanese%20encephalitis%20virus
135,pathogen52,Measles%20virus
161,pathogen183,Porcine%20respiratory%20and%20reproductive%20syndrome%20virus
209,pathogen102,Vibrio%20cholerae
154,pathogen161,Pasteurella%20multocida
116,pathogen146,Infectious%20Bursal%20Disease%20Virus%20%28IBDV%29
126,pathogen97,Leishmania%20donovani
136,pathogen319,MERS-CoV
150,pathogen70,Newcastle%20disease%20virus
176,pathogen57,Rotavirus
65,pathogen237,Diabetes
212,pathogen68,West%20Nile%20virus
148,pathogen46,Neisseria%20meningitidis
133,pathogen28,Marburg%20Virus
165,pathogen65,Pseudorabies%20virus
191,pathogen140,Streptococcus%20pyogenes
190,pathogen47,Streptococcus%20pneumoniae
96,pathogen31,Haemophilus%20influenzae
180,pathogen129,SARS-CoV
129,pathogen195,Leptospira%20spp.
107,pathogen100,Herpes%20simplex%20virus%20type%201%20and%202
33,pathogen8,Brucella%20spp.
81,pathogen25,Escherichia%20coli
196,pathogen91,Toxoplasma%20gondii
199,pathogen264,Trichinella%20spiralis
171,pathogen302,Rickettsia%20rickettsii%20
192,pathogen273,Streptococcus%20suis
208,pathogen80,Vibrio%20anguillarum%20%28Listonella%20anguillarum%29
200,pathogen187,Trichomonas%20foetus
203,pathogen179,Turkey%20hemorrhagic%20enteritis%20virus
152,pathogen160,Orf%20Virus
210,pathogen301,Vibrio%20vulnificus
206,pathogen18,Variola%20virus
156,pathogen147,Piscirickettsia%20salmonis
179,pathogen95,Sarcocystis%20neurona
174,pathogen128,Rift%20Valley%20Fever%20virus
181,pathogen321,SARS-CoV-2
167,pathogen257,Rabbit%20hemorrhagic%20disease%20virus
93,pathogen12,Francisella%20tularensis
137,pathogen159,Mink%20enteritis%20virus
201,pathogen133,Trypanosoma%20brucei
211,pathogen230,Viral%20haemorrhagic%20septicaemia%20virus
112,pathogen210,Human%20metapneumovirus
160,pathogen199,Porcine%20parvovirus
195,pathogen106,Tick-borne%20Encephalitis%20Virus%20%28TBEV%29
172,pathogen108,Rickettsia%20spp
198,pathogen141,Treponema%20pallidum
158,pathogen55,Poliovirus
141,pathogen119,Mycobacterium%20avium
182,pathogen242,Schistosoma%20japonicum
184,pathogen43,Shigella
164,pathogen137,Pseudomonas%20aeruginosa
187,pathogen138,Staphylococcus%20aureus
202,pathogen118,Trypanosoma%20cruzi
111,pathogen26,Human%20Immunodeficiency%20Virus
134,pathogen69,Marek%27s%20disease%20virus
168,pathogen56,Rabies%20virus
215,pathogen130,Yersinia%20enterocolitica
145,pathogen84,Mycoplasma%20gallisepticum
207,pathogen32,VEE%20Virus
157,pathogen30,Plasmodium%20spp.
216,pathogen11,Yersinia%20pestis
144,pathogen29,Mycobacterium%20tuberculosis
178,pathogen42,Salmonella%20spp.
38,pathogen99,Cancer
204,pathogen243,Vaccinia%20virus
121,pathogen50,Influenza%20virus
214,pathogen59,Yellow%20fever%20virus
